,date,Open,High,Low,Close,bitcoin
19583,2017-03-26 16:00:00,992.74,995.0,984.66,990.26,1.49092701871
19584,2017-03-26 17:00:00,993.12,993.12,970.0,981.97,1.53477781338
19585,2017-03-26 18:00:00,981.97,986.0,968.43,973.96,1.49092701871
19586,2017-03-26 19:00:00,973.26,978.22,965.29,977.88,1.42515082671
19587,2017-03-26 20:00:00,977.88,985.97,968.0,972.6,1.49092701871
19588,2017-03-26 21:00:00,972.42,972.51,940.34,951.77,1.66633019738
19589,2017-03-26 22:00:00,952.46,969.25,937.52,952.47,1.62247940271
19590,2017-03-26 23:00:00,946.15,960.0,946.08,960.0,1.64440480005
19591,2017-03-27 00:00:00,959.08,964.0,952.95,960.7,1.60055400538
19592,2017-03-27 01:00:00,961.25,969.0,959.77,968.17,1.64440480005
19593,2017-03-27 02:00:00,968.13,976.3,962.2,973.29,1.60055400538
19594,2017-03-27 03:00:00,972.0,972.07,954.67,965.06,1.60055400538
19595,2017-03-27 04:00:00,965.05,965.05,963.17,964.61,1.60055400538
19596,2017-03-27 05:00:00,964.61,969.23,963.01,963.49,1.55670321071
19597,2017-03-27 06:00:00,963.35,976.85,961.19,973.17,1.46900162138
19598,2017-03-27 07:00:00,974.18,993.0,971.5,991.6,1.40322542937
19599,2017-03-27 08:00:00,987.11,992.33,980.0,985.98,1.33744923737
19600,2017-03-27 09:00:00,986.0,992.01,984.0,988.7,1.40322542937
19601,2017-03-27 10:00:00,988.62,994.0,981.22,985.09,1.40322542937
19602,2017-03-27 11:00:00,986.67,996.26,985.0,988.96,1.35937463471
19603,2017-03-27 12:00:00,985.69,1012.98,985.69,1010.0,1.40322542937
19604,2017-03-27 13:00:00,1009.64,1029.01,1008.53,1027.88,1.53477781338
19605,2017-03-27 14:00:00,1026.52,1029.82,1008.6,1024.8,1.55670321071
19606,2017-03-27 15:00:00,1024.5,1030.99,1015.44,1030.96,1.55670321071
19607,2017-03-27 16:00:00,1028.2,1032.0,1019.48,1026.87,1.57862860805
19608,2017-03-27 17:00:00,1026.89,1027.61,1020.0,1020.81,1.57862860805
19609,2017-03-27 18:00:00,1020.66,1025.0,1020.66,1022.57,1.60055400538
19610,2017-03-27 19:00:00,1022.56,1022.56,1012.08,1013.01,1.57862860805
19611,2017-03-27 20:00:00,1012.44,1025.85,1008.62,1023.83,1.64440480005
19612,2017-03-27 21:00:00,1024.94,1034.99,1018.02,1034.28,1.68825559472
19613,2017-03-27 22:00:00,1034.93,1040.0,1028.99,1036.16,1.86365877339
19614,2017-03-27 23:00:00,1036.2,1043.0,1033.91,1039.92,1.81980797872
19615,2017-03-28 00:00:00,1039.09,1039.97,1027.83,1031.01,1.71018099205
19616,2017-03-28 01:00:00,1033.19,1035.45,1026.56,1028.52,1.68825559472
19617,2017-03-28 02:00:00,1027.65,1035.34,1025.84,1035.34,1.73210638938
19618,2017-03-28 03:00:00,1033.35,1038.64,1027.04,1032.34,1.73210638938
19619,2017-03-28 04:00:00,1032.38,1034.63,1031.12,1033.89,1.68825559472
19620,2017-03-28 05:00:00,1033.3,1036.0,1026.35,1026.63,1.53477781338
19621,2017-03-28 06:00:00,1026.63,1037.62,1026.56,1036.5,1.46900162138
19622,2017-03-28 07:00:00,1037.12,1043.0,1033.5,1043.0,1.44707622404
19623,2017-03-28 08:00:00,1043.0,1048.0,1040.92,1046.67,1.38130003204
19624,2017-03-28 09:00:00,1047.12,1057.97,1047.12,1057.97,1.44707622404
19625,2017-03-28 10:00:00,1057.97,1060.2,1057.0,1057.85,1.44707622404
19626,2017-03-28 11:00:00,1057.86,1064.76,1048.06,1062.52,1.46900162138
19627,2017-03-28 12:00:00,1064.97,1068.26,1060.0,1067.0,1.44707622404
19628,2017-03-28 13:00:00,1066.08,1068.0,1055.4,1064.68,1.46900162138
19629,2017-03-28 14:00:00,1062.7,1064.76,1050.0,1055.0,1.51285241604
19630,2017-03-28 15:00:00,1054.81,1064.04,1050.0,1059.81,1.51285241604
19631,2017-03-28 16:00:00,1059.81,1059.99,1049.38,1051.6,1.53477781338
19632,2017-03-28 17:00:00,1052.44,1055.99,1042.0,1045.19,1.49092701871
19633,2017-03-28 18:00:00,1045.17,1045.17,1032.0,1033.7,1.49092701871
